username,text,timestamp
unaaa,Ya Allah takut jarum 😭trus ini mau di vaksin 😭,2021-11-25 06:34:19+00:00
Life is too short,"RT @Lampung__01: Ketiga, masyarakat nampak lebih antusias memakai vaksin produk dlm negeri.
Keempat, Pemerintah selama ini selalu mendukung…",2021-11-25 06:34:18+00:00
Life is too short,"RT @Lampung__01: Beberapa alasan mengapa penggunaan vaksin lokal ini mendesak.
Pertama, Indonesia harus benar-benar berdaulat dlm hal pemen…",2021-11-25 06:34:16+00:00
Nina Ranarty,RT @rasjawa: Warga Indonesia yang sudah dapet vaksin ke-2 sudah 90 juta orang lebih 200rb. Hebat!!! 👍👍👍👍,2021-11-25 06:34:05+00:00
ᴛʜᴇ ᴇᴅɢᴇ,@Penyuka_ombak Keren skrng RI punya vaksin sendiri,2021-11-25 06:33:59+00:00
igon,"nyesel vaksin pas lagi ga fit, lagi banyak begadang dari maren :(",2021-11-25 06:33:48+00:00
ᴛʜᴇ ᴇᴅɢᴇ,"RT @Penyuka_ombak: Penting utk segera digunakan Vaksin produksi dalam Negeri utk mempercepat vaksinasi bagi masyarakat.
Produk lokal vaksin…",2021-11-25 06:33:42+00:00
Ꮐᥣᥲdเꪮᥣᥙ᥉⁷⁷🍒,"RT @eLn0phex: @hallooodenne @tubirfess Dlm agama Kristen jg gak boleh nder, kita jg gak menormalisasikan lgbt. Sayangnya krn di budaya bara…",2021-11-25 06:33:38+00:00
ginaaaaaaah,Acara vaksin beres…… tiba tiba besok gladi buat wisuda ….. remuk xekali,2021-11-25 06:33:28+00:00
CNBC Indonesia,"Jadi 'Tikus' Percobaan, Putin Vaksin Covid-19 Lewat Hidung https://t.co/rPy3GYfXWp",2021-11-25 06:33:21+00:00
Mary,"RT @proboputro65: di Slovenia TERBONGKAR SKANDAL VAKSIN.

Mungkinkah +62 ADA SKANDAL SAMA dan ADA YANG BERANI BONGKAR bung @TedHilbert dan…",2021-11-25 06:33:15+00:00
igon,"abis vaksin kedua, badan sebelah kiri pada pegel astagfirullah",2021-11-25 06:33:12+00:00
ppshahfiq,RT @JKJAVMY: Dos penggalak vaksin COVID-19 kini akan ditawarkan kepada semua dewasa 18 tahun ke atas. Golongan berisiko tinggi akan diutama…,2021-11-25 06:32:47+00:00
Alsa,"that awkward moment when the security ask u mau kemana and u answered ""ke kebidanan, pak"" plus when the nurse asked you ""lagi hamil?"" and u said ""engga, sus"" then she goes like ""oh, belum menikah ya"" an u said ""iya, belum, hehe, aku mau vaksin dosis 2, sus""",2021-11-25 06:32:43+00:00
Bésame Mucho,"RT @LsOwien: Ahli virus komputer sarankan Vaksin???

Otak dungu percaya! https://t.co/1TsljZ3Dog",2021-11-25 06:32:41+00:00
Int3lejenS3ny4p,@ballapann Utk vaksin booster gunakan vaksin dlm negeri.,2021-11-25 06:32:23+00:00
Ꮐᥣᥲdเꪮᥣᥙ᥉⁷⁷🍒,"RT @tubirfess: btw! setuju sm kak Gita, kadang org suka judge orang yg punya hubungan beda agama/LGBT/yg lainnya dipikir orang gabisa nyatu…",2021-11-25 06:32:09+00:00
Polsek Banjarangkan,".
Ayo Vaksin!
Tetap patuhi Protokol Kesehatan.
Bersama Cegah Penyebarab Covid -19 https://t.co/fj7WHBtrTY",2021-11-25 06:32:05+00:00
Int3lejenS3ny4p,RT @ballapann: Saleh Daulay mengatakan vaksin dalam negeri harus digunakan krn telah mendapat Penggunaan EUA dari BPOM untuk penggunaan vak…,2021-11-25 06:31:56+00:00
Polsek Bangil,"MAU VAKSIN COVID-19 TAPI TAKUT JARUM SUNTIK? 

BERIKUT STRATEGI UNTUK MENGATASI RASA TAKUT AKAN JARUM SUNTIK

#JOGOPASURUAN #PASURUANKEBALCOVID 
#JATIMBERMASKER https://t.co/8vBB66vUAR",2021-11-25 06:31:15+00:00
whothe_¥ 🏴,RT @JKJAVMY: Dos penggalak vaksin COVID-19 kini akan ditawarkan kepada semua dewasa 18 tahun ke atas. Golongan berisiko tinggi akan diutama…,2021-11-25 06:31:12+00:00
Muhamad Fuaat,RT @JKJAVMY: Dos penggalak vaksin COVID-19 kini akan ditawarkan kepada semua dewasa 18 tahun ke atas. Golongan berisiko tinggi akan diutama…,2021-11-25 06:31:08+00:00
📌 Orek Tempe 📌,"RT @Penyuka_ombak: Anggota Komisi IX DPR RI Saleh Daulay mendesak Pemerintah utk menggunakan segera Vaksin produksi dlm negeri.
Produksi lo…",2021-11-25 06:31:08+00:00
Abdul Mughny,"ANAK YANG SEHAT TIDAK
BUTUH VAKSIN KARENA..
ANTI BODI MEREKA LEBIH
KUAT DARI VAKSIN....
.
BERIKAN SAJA PER HATIAN
YANG LEBIH OLEH NEGARA
ANAK2 YANG SAKIT DAN...
BUTUH PERAWATAN EXTRA
.
Selamat kan Anak2 Yg Sehat
Sebagai Regenarasi Yg Kuat
. https://t.co/IJkD6EGupv",2021-11-25 06:30:45+00:00
🐨,"@anaksungsang Influenza 4 strain, kak. Cuma waktu itu aku ditawarinnya yg influvac. Alesannya kenapa 4 strain &gt;&gt;&gt; 3 strain bisa cek disini https://t.co/d2OsYFqpK4",2021-11-25 06:30:42+00:00
Satlantas Res Pkl Kota,"KEGIATAN VAKSINASI COVID 19, DIKMAS LANTAS HIMBAUAN PROTOKOL KESEHATAN, SOSIALIASI GLORIFIKASI DOWNLOAD APLIKASI “PEDULI LINDUNGI” DAN PEMBAGIAN MASKER KEPADA PESERTA VAKSIN DI KELURAHAN PADUKUHAN KRATON DALAM RANGMA OPS ZEBRA CANDI 2021 https://t.co/mnrhVFLCKV",2021-11-25 06:30:35+00:00
Rt&L retwit and like,"RT @TedHilbert: Ayo semunaya, Tweet dan quote RT konten vaksin dengan #EvaluasiMendalamVaksinC19
VIRALKAN",2021-11-25 06:30:28+00:00
Satlantas Res Pkl Kota,"KEGIATAN VAKSINASI COVID 19, DIKMAS LANTAS HIMBAUAN PROTOKOL KESEHATAN, SOSIALIASI GLORIFIKASI DOWNLOAD APLIKASI “PEDULI LINDUNGI” DAN PEMBAGIAN MASKER KEPADA PESERTA VAKSIN DI KELURAHAN PADUKUHAN KRATON DALAM RANGMA OPS ZEBRA CANDI 2021 https://t.co/qcexCNeNuO",2021-11-25 06:30:25+00:00
𝒞𝒶𝓀𝑒𝓃𝓊𝓇,RT @DGHisham: Ringkasan Pemberian dos penggalak vaksin COVID-19 secara homologus dan heterologous syor terkini daripada Jawatankuasa Kerja…,2021-11-25 06:30:16+00:00
Nurul Sufitri,"Ade UFi: Santap Aman dengan Vaksin Tifoid Bagi Pencinta Kul... https://t.co/sHHLricD8M Biar kuliner makin seru dan aman dari penyakit, yuk baca tips mbak @ummifikri dulu deh 😋",2021-11-25 06:30:10+00:00
Kompas.com,"Direktur Jenderal Organisasi Kesehatan Dunia (WHO) Tedros Adanom Ghebreyesus mengatakan, Eropa menjadi pusat pandemi Covid-19 karena rasa aman palsu atas perlindungan yang ditawarkan vaksinasi - #Sains https://t.co/U7mXIf6TH4",2021-11-25 06:30:00+00:00
⟭⟬ HellendJeon JK ⟬⟭,"RT @BLINKVOTINGINDO: [Trans] Lisa tidak mengalami gejala yang serius karena telah mendapatkan full vaksin, #LISA tertular virus covid-19 di…",2021-11-25 06:30:00+00:00
♡ دلا,"Cucuk Booster FREE dan Menang Iphone 13😱😱

Biaqq betoii 😱

Mai walk in cucuk vaksin booster dose ketiga di *Masjid Sultanah Bahiyah Alor Setar* bermula isnin 29/11/2021

dan berpeluang Menang Iphone 13 PRO MAX 256gb. 😱🥰😎

Tolong RT sampai semua orang aloq setaq nampak 💪🏻 https://t.co/RCTUlEDEJn",2021-11-25 06:29:54+00:00
ØⱤ₳₦₲🇮🇩ᴍᴇʀᴅᴇᴋᴀ,"@blogdokter inilah efek kebijakan vaksin dipaksakan. jadi jgn salahkan rakyat yg sebelumnya baik2 saja, malah jadi kenapa napa setelah vaksin... 
Ini namanya mau menang/bener sendiri",2021-11-25 06:29:52+00:00
REI & CO LAWYER OFFICE,"Operasi Zebra di Maros, Pelanggar Diberikan Sanksi Vaksin https://t.co/snWJUE5Vv3",2021-11-25 06:29:39+00:00
Gendon2,@Penyuka_ombak Vaksin dlm negeri tak kalah saktinya oleh vaksin yg lain,2021-11-25 06:29:33+00:00
mory,fuck keujanan w gtakut w udh vaksin,2021-11-25 06:29:19+00:00
Abdul Mughny,"@TedHilbert ANAK YANG SEHAT TIDAK
BUTUH VAKSIN KARENA..
ANTI BODI MEREKA LEBIH
KUAT DARI VAKSIN....
.
BERIKAN SAJA PER HATIAN
YANG LEBIH OLEH NEGARA
ANAK2 YANG SAKIT DAN...
BUTUH PERAWATAN EXTRA
.",2021-11-25 06:29:14+00:00
bentley,RT @JKJAVMY: Dos penggalak vaksin COVID-19 kini akan ditawarkan kepada semua dewasa 18 tahun ke atas. Golongan berisiko tinggi akan diutama…,2021-11-25 06:28:55+00:00
enchekMat,"RT @UKASSarawak: HEBAHAN AWAM PEMBERIAN DOS PENGGALAK VAKSIN COVID-19

26 Hingga 30 November 2021
8:00 Pagi Hingga 4:00 Petang 
Stadium Ter…",2021-11-25 06:28:44+00:00
enchekMat,"RT @UKASSarawak: PENERIMA VAKSIN ASTRAZENECA

Semua penerima vaksin AstraZeneca yang masih belum menerima vaksin Dose 2 (termasuk mereka ya…",2021-11-25 06:28:41+00:00
Gendon2,"RT @Penyuka_ombak: Penting utk segera digunakan Vaksin produksi dalam Negeri utk mempercepat vaksinasi bagi masyarakat.
Produk lokal vaksin…",2021-11-25 06:28:37+00:00
🦔,RT @DGHisham: Ringkasan Pemberian dos penggalak vaksin COVID-19 secara homologus dan heterologous syor terkini daripada Jawatankuasa Kerja…,2021-11-25 06:28:20+00:00
Haqi Ahmad Z.E.D 29,"MAU VAKSIN COVID-19 TAPI TAKUT JARUM SUNTIK? 

BERIKUT STRATEGI UNTUK MENGATASI RASA TAKUT AKAN JARUN SUNTIK

#JOGOPASURUAN #PASURUANKEBALCOVID 
#JATIMBERMASKER https://t.co/h9CTrtC8c2",2021-11-25 06:27:59+00:00
Medusa,"RT @Penyuka_ombak: Penting utk segera digunakan Vaksin produksi dalam Negeri utk mempercepat vaksinasi bagi masyarakat.
Produk lokal vaksin…",2021-11-25 06:27:57+00:00
Vinca,@allofkoo Mana Bangtan lg bebas bgt di US 😭 tp klo udh vaksin harusnya cm kek flu doang sik,2021-11-25 06:27:51+00:00
lun,RT @JKJAVMY: Dos penggalak vaksin COVID-19 kini akan ditawarkan kepada semua dewasa 18 tahun ke atas. Golongan berisiko tinggi akan diutama…,2021-11-25 06:27:44+00:00
Mikha,"Kim hanbin, park jimin , jeon jungkook maju lo semua sini gue dah vaksin dosis dua ga takut 😭 https://t.co/Lnn6yzfyIQ",2021-11-25 06:27:40+00:00
Pusat Maklumat Rakyat Dalat 🇲🇾🇲🇾🇲🇾,"RT @UKASSarawak: PENERIMA VAKSIN ASTRAZENECA

Semua penerima vaksin AstraZeneca yang masih belum menerima vaksin Dose 2 (termasuk mereka ya…",2021-11-25 06:27:10+00:00
Youth Nation Club 🇲🇾,RT @JKJAVMY: Dos penggalak vaksin COVID-19 kini akan ditawarkan kepada semua dewasa 18 tahun ke atas. Golongan berisiko tinggi akan diutama…,2021-11-25 06:26:51+00:00
Ꮐᥣᥲdเꪮᥣᥙ᥉⁷⁷🍒,RT @collegemenfess: [Cm] serius tanya emg gada ya hari dosen? 😭 https://t.co/CRmu6dWv1v,2021-11-25 06:26:47+00:00
Gerammm...!!!!,"@dr_koko28 Terima kasih infonya, Dok. Berarti masih ada kemungkinan Indonesia akan punya vaksin sendiri ya Dok.",2021-11-25 06:26:43+00:00
ᴛʜᴇ ᴇᴅɢᴇ,"@Mr_Khepo Mantap, Indonesia punya vaksin sendiri",2021-11-25 06:26:30+00:00
ᴛʜᴇ ᴇᴅɢᴇ,"RT @Mr_Khepo: Saleh Partaunan Daulay, Anggota Komisi IX DPR desak Pemerintah gunakan Vaksin produk lokal. Slah satunya bisa tekan anggaran…",2021-11-25 06:26:14+00:00
®o$¥ie🏴,"RT @501Awani: Organisasi itu bimbang vaksin telah menimbulkan ""rasa keselamatan palsu bahawa wabak telah berakhir"".

#AWANInews #AWANIpagi…",2021-11-25 06:26:12+00:00
rasa,"kayane saking kangen sekolah, diceluk vaksin malah muni ""hadiroh pak""",2021-11-25 06:26:09+00:00
naa⁷ღ kinda ia,bantu rec foto tae HD buat custom di kartu vaksin ku dong,2021-11-25 07:00:23+00:00
Ms Shaa 🍁,"Dos penggalak vaksin COVID-19 kini akan ditawarkan kepada semua dewasa 18 tahun ke atas. Golongan berisiko tinggi akan diutamakan. Dapatkan dos penggalak jika terima janji temu.

#PICKBooster 
#LindungDiriLindungSemua https://t.co/NCcgMOhND1",2021-11-25 07:00:12+00:00
Klinik Putih Cyberjaya,"Berikut adalah jadual pemberian dos penggalak dan jenis vaksin yang di syorkan.

@Twt_Cyberjaya https://t.co/HX3W4XczRY",2021-11-25 07:00:07+00:00
flawagal,"Dos penggalak vaksin COVID-19 kini akan ditawarkan kepada semua dewasa 18 tahun ke atas. Golongan berisiko tinggi akan diutamakan. Dapatkan dos penggalak jika terima janji temu.

#PICKBooster 
#LindungDiriLindungSemua https://t.co/NCcgMOhND1",2021-11-25 07:00:03+00:00
아미 (A M),"Seramai 2,607,392 atau 82.8 peratus daripada populasi remaja di negara ini lengkap menerima suntikan vaksin Covid-19, setakat 11.59 malam tadi. https://t.co/WOZHjUAYj3",2021-11-25 06:59:58+00:00
ʀ ᴀ ʏ,GATAKUT GUE UDH VAKSIN KE DUA MAJU LO KEP1ER 😭😭😭 https://t.co/908iXdyuvv,2021-11-25 06:59:48+00:00
nisha nasir,Ringkasan Pemberian dos penggalak vaksin COVID-19 secara homologus dan heterologous syor terkini daripada Jawatankuasa Kerja Teknikal (TWG) https://t.co/osbcsYZqmR,2021-11-25 06:59:46+00:00
™gembel.elt 🇲🇨,"Saya mendukung kebijakan pemerintah untuk mengatasi pandemi Covid-19.
__

Hari ini adik saya terbang ke Medan lewat Halim. Dia baru vaksin 1x, sehingga wajib tes PCR untuk melengkapi syarat.

Ngomong-ngomong tes PCR kok masih mahal aja?

Cc yth
@jokowi
@KemenkesRI
@kemendagri https://t.co/QhPtE3TQxd",2021-11-25 06:59:45+00:00
Tawacandu,"2. Indonesia harus benar2 berdaulat dlm pemenuhan vaksin covid-19. Caranya ya dgn menggunakan vaksin produksi lokal. Anggaran negara yg tadinya utk membeli vaksin import bs dialokasikan utk kebutuhan lain
.
.
#DPRuntukNegeri terus mendengar aspirasi rakyat
https://t.co/eTrIt5SkmD",2021-11-25 06:59:43+00:00
Tawacandu,"1. Stok vaksin produksi dalam negeri yg telah mendapatkan ijin EUA dari BPOM harus segera dipergunakan untuk membantu percepatan vaksinasi nasional. Hal ini disampaikan oleh Anggota Komisi IX DPR RI Saleh Partaonan Daulay. 
.
.
#DPRuntukNegeri terus mendengar aspirasi rakyat https://t.co/VN6BKpnjrl",2021-11-25 06:59:36+00:00
•ㅅ• 🇵🇸🇲🇾🏴,"Done cucuk booster. Risau pulak bila tak ada simptom nih, even kebas tangan pun tak. Rasa normal je, betul ke vaksin tu masuk dalam badan ni 😅 https://t.co/X5oBkI6HSc",2021-11-25 06:59:33+00:00
εϊз,Vaksin kedua nyilu ya ternyata 🤯,2021-11-25 06:59:32+00:00
mona,"@tubirfess dari repnya keliatan bgt masih pada menggampangkan covid, emang bener kok udh banyak yg vaksin, tapi emang kalo udh vaksin gabisa kena covid? emang dengan buka masker bentar yakin gaada droplets yg kehirup? jangan kebiasan semuanya digapapa-in, kebiasan bgt org indo semuanya -c",2021-11-25 06:59:26+00:00
Mukty Larasaty,Polsek Kandis Lakukan Pengamanan Vaksin di Kampung Kandis https://t.co/k9wL7UYeIC https://t.co/5NRRCThbCt,2021-11-25 06:59:04+00:00
"anja, fb.","@froxrid vaksin lo sinovac rid, ga ngaruh",2021-11-25 06:59:03+00:00
ON : OPEN DM! 💜,💜 bantu rec foto tae HD buat custom di kartu vaksin ku dong :) - TIA 🙏,2021-11-25 06:58:53+00:00
Puja Kerang Ajaib,"setelah sempat tertunda karena positif covid, akhirnya vaksin ke2 juga",2021-11-25 06:58:28+00:00
≋B≋_≋P≋®️,"Saleh Daulay mengatakan vaksin dalam negeri harus digunakan krn telah mendapat Penggunaan EUA dari BPOM untuk penggunaan vaksin dalam kondisi darurat. 

Hal ini karena vaksin dalam negeri dpt bermanfaat dlm menekan anggaran negara.

#DPRuntukNegeri Terus mendengar aspirasi rakyat https://t.co/XFMtbgeBSn",2021-11-25 06:58:16+00:00
Mohd Faizal,Malaysia dan Singapura bekerjasama lancarkan Laluan Perjalanan Lengkap Vaksin - Laluan Darat (VTL Land) pada 29 Nov - PM @IsmailSabri60 https://t.co/BjqzPJYuXE,2021-11-25 06:58:06+00:00
NuraArha,"Dos penggalak vaksin COVID-19 kini akan ditawarkan kepada semua dewasa 18 tahun ke atas. Golongan berisiko tinggi akan diutamakan. Dapatkan dos penggalak jika terima janji temu.

#PICKBooster 
#LindungDiriLindungSemua https://t.co/NCcgMOhND1",2021-11-25 06:58:01+00:00
SSW,Ini sengaja dikeluarkan sebagai pengalihan isu dari vaksin covid. Jangan biarkan aktor plandemi dapet enaknya doang. https://t.co/3Du5RXrjzb,2021-11-25 06:57:30+00:00
resta,"BAKAR SEMUA!!!!!!!!
#EvaluasiMendalamVaksinC19
https://t.co/QRoxeD80ro",2021-11-25 06:57:23+00:00
Official : Kang Cir3ng®️ by N҉I҉N҉J҉A҉ K҉U҉R҉O҉ส้้,"2. Indonesia harus benar2 berdaulat dlm pemenuhan vaksin covid-19. Caranya ya dgn menggunakan vaksin produksi lokal. Anggaran negara yg tadinya utk membeli vaksin import bs dialokasikan utk kebutuhan lain
.
.
#DPRuntukNegeri terus mendengar aspirasi rakyat
https://t.co/eTrIt5SkmD",2021-11-25 06:57:21+00:00
farid,"WOI QRT GAIB MAJU LO, gue ga takut, gue udah vaksin dua kali",2021-11-25 06:57:19+00:00
Official : Kang Cir3ng®️ by N҉I҉N҉J҉A҉ K҉U҉R҉O҉ส้้,"1. Stok vaksin produksi dalam negeri yg telah mendapatkan ijin EUA dari BPOM harus segera dipergunakan untuk membantu percepatan vaksinasi nasional. Hal ini disampaikan oleh Anggota Komisi IX DPR RI Saleh Partaonan Daulay. 
.
.
#DPRuntukNegeri terus mendengar aspirasi rakyat https://t.co/VN6BKpnjrl",2021-11-25 06:57:18+00:00
Nurul Sufitri,Nurul Sufitri's Blog: Cara Santap Aman Kuliner Nyaman dengan Vaksin Tifoid https://t.co/zP9RMywXgB @Nurulsufitri,2021-11-25 06:57:18+00:00
arief deën,"""for your health"".. mereka berbohong dalam semua hal terkait covid, masker, vaksin, vaksin pass, ppkm..!
It's all about politics. Not our health!
STOP TIRANI COVID! ☠👿 https://t.co/E7PPTRINjA",2021-11-25 06:57:12+00:00
